id,entidad,nombre_aplicativo,finalidad,tecnologias_utilizadas,fuente_documento,fuente_url,fecha_captura
1,MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO,Bolsa de Trabajo,"Plataforma de intermediación laboral digital que usa IA para el encuentro eficiente entre personas que buscan empleo y empresas que ofrecen vacantes.","Inteligencia Artificial, NLP, emparejamiento inteligente, microservicios web, ontologías ocupacionales",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
2,SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PÚBLICOS,Servicio de lectura multilingüe de información registral,"Lectura en audio de esquelas de títulos registrales en lenguas nativas (aimara, quechua) y otros idiomas.","IA, texto a voz, OCR, traducción automática multilingüe",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
3,ORGANISMO SUPERVISOR DE INVERSIÓN PRIVADA EN TELECOMUNICACIONES,Asistente Virtual (chat y audio) para Página Web y Contact Center,"Asesor virtual automatizado para atención y orientación al usuario, amplía canales de atención del OSIPTEL.","IA conversacional, IBM Watson Assistant, servicios en la nube (AWS, VPC)",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
4,PROGRAMA NACIONAL PLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL,ChatBot de soporte técnico para colaboradores del Programa Nacional PAIS,"Asistencia técnica automatizada a colaboradores del programa.","IA, Python, FastAPI, Keras, TensorFlow, SQL Server",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
5,INSTITUTO DE INVESTIGACIONES DE LA AMAZONÍA PERUANA,View Leaf,"Aplicación móvil que identifica especies de árboles forestales a partir de hojas, como apoyo a materos en concesiones forestales.","Python, Mobilenet, Kotlin, Android Studio",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
6,BIBLIOTECA NACIONAL DEL PERÚ,Chatbot Bibliotecario,"Chat sobre servicios bibliotecarios.","Librerías IA",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
7,PODER JUDICIAL,CURIA,"Asistente basado en IA generativa que proyecta resoluciones judiciales con referencias normativas.","IA Generativa, NLP, análisis jurídico automatizado",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
8,JURADO NACIONAL DE ELECCIONES,EleccIA,"Evaluación de expedientes electorales.","Inteligencia Artificial, procesamiento jurídico automatizado, evaluación documental",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
9,PRESIDENCIA DEL CONSEJO DE MINISTROS,YachAIbot,"Chatbot de normas digitales que responde consultas legales sobre transformación digital en lenguaje natural.","NLP, chatbots, IA jurídica",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
10,INSTITUTO NACIONAL DE SALUD DEL NIÑO,Qhali (robot enfermera con IA),"Orienta al público sobre vacunación y facilita el acceso a la cartilla virtual durante campañas sanitarias.","Robot humanoide, IA, teleoperación, interacción gestual",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
11,SUPERINTENDENCIA NACIONAL DE SERVICIOS DE SANEAMIENTO,IA para la elaboración de informes de inspección,"Automatiza informes e identifica brechas en saneamiento con análisis geoespacial.","IA, Machine Learning, análisis geoespacial, automatización",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
12,MINISTERIO DEL AMBIENTE,SIGERSOL,"Guía y optimiza el reporte de gestión de residuos sólidos por municipalidades.","IA, soporte virtual inteligente, integración de datos",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
13,MINISTERIO DE LA PRODUCCIÓN,MAIA – MYPE Asesor IA,"Asesoría empresarial digital.","Inteligencia Artificial, asistente virtual, sugerencias automatizadas de gestión",datos/documentos/2026-06-10_pcm-catalogo-aplicaciones-ia.pdf,https://cdn.www.gob.pe/uploads/document/file/8238351/6879780-catalogo-de-aplicaciones-con-ia.pdf,2026-07-26
