id,entidad,nombre_aplicativo,tecnologias_utilizadas,estado_en_pcm24_jun2026,fuente_cita,fecha_captura
1,MINISTERIO DE EDUCACIÓN,Smart Churay Yachay,"Inteligencia artificial, recursos offline, librerías DeepSeek y QWen, servicios en la nube",ausente_en_catalogo_pcm_jun2026,"Huancapaza Hilasaca, J. E. (2025). Implementación de inteligencia artificial en el Estado peruano: catálogo analítico de aplicaciones. Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
2,MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO,Bolsa de Trabajo,"Inteligencia artificial, NLP, emparejamiento inteligente, microservicios web y ontologías ocupacionales",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
3,SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PÚBLICOS,Servicio de lectura multilingüe de información registral,"IA, texto a voz, OCR, traducción automática multilingüe",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
4,ORGANISMO SUPERVISOR DE INVERSIÓN PRIVADA EN TELECOMUNICACIONES,Asistente virtual (chat y audio) para página web y contact center,"IA conversacional, IBM watsonx Assistant, servicios en la nube (AWS, VPC)",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
5,PROGRAMA NACIONAL PLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL,Chatbot de soporte técnico para colaboradores del Programa Nacional PAIS,"IA, Python, FastAPI, Keras, TensorFlow, SQL Server",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
6,INSTITUTO DE INVESTIGACIONES DE LA AMAZONÍA PERUANA,View Leaf,"Python, MobileNet, Kotlin, Android Studio",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
7,BIBLIOTECA NACIONAL DEL PERÚ,Chatbot bibliotecario,"Librerías IA",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
8,PODER JUDICIAL,Curia,"IA generativa, NLP, análisis jurídico automatizado",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
9,JURADO NACIONAL DE ELECCIONES,EleccIA,"Inteligencia artificial, procesamiento jurídico-automatizado, evaluación documental",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
10,PRESIDENCIA DEL CONSEJO DE MINISTROS,YachAIbot (en marcha blanca),"NLP, chatbots, IA jurídica",presente,"Huancapaza Hilasaca, J. E. (2025). Interfases, (22), 143-158. https://doi.org/10.26439/interfases2025.n022.8263",2026-07-26
